"x","y","cls"
-0.405997129133778,-0.318681516685052,2
0.632899361177255,-0.0778294882983218,4
0.401042062325498,0.00270737483478611,2
-0.0775696844577909,-0.348900830158704,4
-0.0830081925906744,0.48932464814441,2
0.994050318058325,-0.902314954146228,1
-0.274243891218266,-0.0401196744873137,4
0.114244891890992,-0.0170679300941838,2
-0.390878978078781,-0.272127910499486,2
0.157295444519116,0.463042955126409,4
-0.308842907294543,-0.363035796438355,2
0.339450606038339,0.989449049617433,3
0.432646644472658,-0.796645156154491,1
-0.910425896947634,0.028244729343694,1
0.380757174290695,-0.208394720903807,2
0.93243216885234,0.641957421563506,3
-0.606360315302779,0.228423051448592,2
-0.333062383496045,0.731482304402802,1
0.277661611317215,0.747730540297698,3
0.863423490774835,0.61401003256944,3
0.703748557968789,0.86862141465549,3
0.609013082019158,-0.19705706272595,4
-0.801123576765641,-0.204540019852289,3
-0.150205332290379,0.824971732692746,1
0.071884875924193,0.119169630377096,2
0.0624137858785543,-0.0959070903276809,2
-0.57628248152879,-0.718524526844284,3
0.506123130223049,-0.464144886012199,4
-0.221683243828013,-0.142958391872629,4
0.509168947915832,-0.252030488838816,4
0.740346224380536,-0.172823995943233,1
0.906810208298054,0.293013817185915,3
-0.491912256800849,-0.194922330746223,2
-0.536995368462417,-0.301831462744523,2
0.712328118442512,0.450748847800379,3
0.905298676527822,-0.9618856318718,1
-0.296508909353361,-0.0936957459218986,4
0.534542495780937,0.362562277750608,4
-0.127780661480665,0.0065144517946556,4
0.550492500405848,-0.0731404236735334,4
-0.966759258728056,-0.303066450597814,3
0.84807503863165,-0.0563969276070966,1
-0.911274691790242,0.475469555589616,1
-0.296371753041266,-0.859687405700834,3
0.348641104036683,-0.586478049063491,4
-0.584659108663317,0.448251027729184,1
-0.333986347880816,-0.542354616823188,2
0.773266804273006,0.693965872744515,3
-0.505517279376733,0.700781762211165,1
0.136001494848287,-0.594797015122509,4
0.244116351649319,0.963334974036093,3
0.931711433891418,0.805596052992375,3
0.506828979691474,0.148008457018749,4
0.591417659786412,0.784889842292938,3
0.613120525714162,0.938738180775505,3
